Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12 Madurai 5Vellalur
6Athipatti
7Elumalai
8Peraiyur
9Sivarakkottai
10Kokkulam
11Thirumangalam
12Karumathur
13Sindhupatti
13 Nagapattinam 1Thiurkannapuram 1 Madhanam 1Kariyapattinam 1Kangalancheri
2 Sirkali 2Kuttalam 2Keelaiyur
3Manganallur 3Kilvelur
4Mayiladuthurai 4Nagappattinam
5Melaiyur 5Nirmulai
6Palaiyur 6Thagatur
7Pattavarthi 7Thalainayar
8Puthur 8Therkupoigainallur
9Sembanarkoil 9Thevoor
10Thiruvilaiyattam 10Thillayadi
11Vaitheeswaran Koil 11Thirukkuvalai
12Thirumarugal
13Thiruvengdu
14Valivalam
15Velanganni
16Vedaranyam
14 Namakkal 1Alanganatham 1Erumaipatti
2Jedarpalayam 2Kalappanaikanpatti
3Kumarapalayam 3Mallasamudram
4Manickampalayam 4Mangalapuram
5Molasi 5Mohanur
6Pallapatti 6Mullukurichi
7Pandamangalam 7Nallipalayam
8Tiruchengode 8Nallur
9Namagiripettai
10Namakkal
11Paramathi
12Puduchatram
13Rasipuram
14Sellappampatti
15Senthamagalam
16Vaiyappamalai
17Valaiyapatti
18Vennandur
15 Niligiri
16 Perambalur 1Keelapuliyur 1Chettikulam
2Kolakanatham 2Kurumbalur
3Vengalam 3Pasumbalur
4Perambalur
5Valikandapuram
17 Pudukkottai 1Alangudi 1Keeramangalam 1Kottaipattinam
2Arasarkulam 2Perumaruthur
3Sinkavanam
18 Ramanathapuram 1Aappanur
2Kadaladi
18 Ramanathapuram 3Melachelvanur
4S.Tharaikudi
5Sayalkudi
6Sikkal
7Mudukulathur South
8Keelakkarai
9Thirupullani
19 Salem 1Karupur 1Attur
2Kolathur 2Edappadi
3Patchamalai 3Ernapuram
4Pottaneri 4Gangavalli
5Thevur 5Kadayampatti
6Veeraganoor 6Karippatti
7Kattukkottai
8Konganapuram
9Malliyakarai
10Mecheri
11Nangavalli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19 Salem 12Omalur
13Palamalai
14Panamarathuppatti
15Pethanaickanpalayam
16Poolampatti
17Salem_Town
18Sankari East
19Sankari West
20Semmandappatti
21Suramangalam
22Thalaivasal
23Tharamangalam
24Thirumalaigiri
25Valasaiyur
26Vazhappadi
27Veerapandi
28Vembadithalam
29Yethapur
20 Sivagangai 1Varappur
21 Thanjavur 1Budalur 1Adirampattinam 1Andikkadu
2Thirukkattupalli 2Aduthurai 2Vallam
3Cholanmaligai 3Ammapettai
4Thuvarankurichi 4Avanam
5Ulur 5Ayyampettai
6Peravurani 6Devanancheri
7Kavalipatti 7Kabisthalam
8Sillathur 8Kandiyur
9Kathiramangalam
10Kumbakonam
11Kuruchi
12Kuruvikarambai
13Melattur
14Murukkangudi
15Nachiyarkoil
16Nadukaveri
17Nambivayal
18Nanjikottai
19Pandanallur
20Papanasam
21Pattukkottai
22Ramapuram
23Thanjavur
24Thirumangalakottai
25Thiruvaiyaru
26Thiruvidamarudur
27Thondarampattu
28Tiruchitrambalam
29Tiruppanandal
22 Theni 1Cumbam 1Andipatti 1Erasakkanaickanur
2Devathanapatti 2Kandamanur
3Kodangipatti 3Kodivilarpatti
4Mayladumparai 4Rajathani
5Rasingapuram 5Thevaram
6Theni
7Thenkarai
8Uthamapalayam
23 Thiruvallur 1Arani 1Ammanambakkam 1Ambattur 1Minjur
2Kanagammachattram 2Uthukkottai 2Avadi
3Kattur 3Balapuram
4Madhavaram 4Cherukkanoor
5Periyapalayam 5Erumbi
6Poonamallee 6Kadambathur
7Poonimangadu 7Kannigaipair
8Pothattur Pettai 8Mappedu
9Redhills 9Pallipattu
10Thirumazhisai 10R.K.Pet
11Tiruttani 11Thiruninravur
12Vengathur
24 Thoothukudi 1Kadambur 1Parivallikottai 1Ilayarasanendal
2Kayathar 2Ottapidaram
3Kovilpatti 3Pallakurichi
4Sattankulam
5Udangudi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25 Tirunelveli 1Keezhapavoor 1Ayikudi 1Kallurani
2Levinjipuram 2Gudalur 2Karisal Kulam
3Panagudi 3Nettur 3Karivaklamvandanallur
4Puliyankudi 4Karuvantha
5Thiruvengadem 5Kurukkalpatti
6Valliyoor 6Pazhankottai
7Vasudevanallur 7Pazhavoor
8Veerakeralampudur 8Radhapuram
9Venkadampatti 9Sankarankoil
10Sernthamangalam
11Surandai
12Tisayanvilai
13Uthumalai
14Vannikonenthal
15Veerasigamani
26 Tiruppur 1Alangiyam 1Vellakoil 1Avinashi(E)
2Dharapuram 2Avinashi(W)
3Madathukulam 3Avinashipalayam(S)
4Nathakadaiyur 4Cheyur
5Udumalpet 5Gudimangalam
6Kangeyam
7Kannivadi
8Karadivavi
9Kundadam
26 Tiruppur 10Kunnathur
11Mulanur
12Palladam
13Periavalavadi
14Perumanallur
15Pethappampatti
16Pongalur
17Ponnapuram
18Samalapuram
19Sankarandampalayam
20Tiruppur (N)
21Tiruppur (S)
22Uthiyur
23Uthukuli
27 Tiruvarur 1Koothanallur 1Nannilam 1Agarathirumalam 1Alathampadi
2Sannanallur 2Thiruvizhimazhalai 2Alangudi 2Edaiyur
3Avoor 3Thiruthuraipoondi
4Kodavasal 4Murhupet
5Koradacheri
6Kulikkarai
7Peralam
8Thirukkannamangai
9Valangaiman
28 Tiruvannamalai 1Anakavoor 1Kettavarampalayam 1Chengam
2Chennavaram 2Malaiyur 2Cheyyar
3Desur 3Nayadumangalam 3Kilpennathur
4Dusi 4Osur 4Melpallipattu
5Eraiyur 5Pachal 5Somaspadi
6Kadaladi 6Thanipadi 6Thandarampat
7Kalasapakkam 7Thatchampattu 7Thurinjapuram
8Kelur 8Vadathandalam 8Veraiyur
9Kilkodungalur
10Kolappalur
11Mandakolathur
12Modayur
13Nedungunam
14Peranamallur
15Polur
16Pudupalayam
17Santhavasal
18Thachambadi
19T.V. Malai
20T.V. Malai
21Vakkadai
22Vandavasi
23Vanapuram
24Vettavlam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29 Trichy 1Eragudi 1Peruvalpur 1Kannanur
2Kattuputhur 2Kariyamanickam
3Mannachanallur 3Koppampatti
4Musiri 4Manapparai
5Thottiyam 5Manikandam
6Thuvarangurichi 6Marungapuri
7Uppiliyapuram 7Pannappatti
8Pulivalam
9Sengattuppatti
10Thathaiyangarpettai
11Thumbalam
12Thuraiyur
13V.Periyapatti
14Vaiyampatti
15Valaieduppu
30 Vellore 1Agaram 1Kaveripakkam 1Ambalur
2Alangayam 2Pennathur 2Ambur
3Andiyappanur 3Walajah 3Ammanankoil
4Arakonam(South) 4Anaicut
5Banavaram 5Arcot
6Kandhili 6Gudiyatham (West)
7Kaniyambadi 7Gudiyatham(East)
8Koratti 8Jolarpet
9Melpadi 9K.V.Kuppam
10Natrampalli 10Kalavai
11Odugathur 11Katpadi
12Pallur 12Madhanur
13Panapakkam 13Melpatti
14Paranji 14Melasannankuppam
15Pernampattu 15Nemili
16Ranipet 16Pallikonda
17Sholinghur 17Pudupadi
18Thiruvalam 18Sathuvachari
19Velam 19Thuthipattu
20Visharam 20Timiri
21Tirupathur
22Ussoor
23Vaduganthangal
24Valathur
25Vaniyambadi
26Vellore
31 Villupuram 1Arakandanallur 1Chinnaselam 1Anniyur
2Kallakurichi 2Mailam 2Arasur
3Kanai 3Avalurpettai
4Kandamangalam 4Brammadesam
5Manalurpettai 5Chithalingamadam
6Rishivandhiyam 6Elavanasurkottai
7Sengurichi 7Eraiyur
8Thirukovilur 8Gingee
9Vadakanandal 9Indili
10Villupuram 10Kalamarudur
11Kanjanur
12Kiliyanur
13Marakkanam
14Melmalaiyanur
15Melolakkur
16Nagalur
17Nainarpalayam
18Nemili
19Olakkur
20Sathampati
21Sathiyamangalam
22Siruvadi
23Sithalampattu
24T.V.Nallur
25Thiyagadurgam
26Tindivanam
27Ulundurpettai
31 Villupuram 28Uppuvelur
29Vadasiruvalur
30Vallam
31Vanur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31 Villupuram 32Vikkiravandi
32 Virudhunagar 1Amathur 1Elayiram- Pannai 1Cholapuram
2Iyankollankondan 2Ethirkottai 2Keelarajakularaman
3Kottaiyur 3Mallankinar 3Nathampatti
4Malli 4Mangalam 4Rajapalayam
5Mandapasalai 5Pillaiyarkulam 5Vatchakara-Patti
6Nalli 6Salwarpatti
7Ondipulinaickanur 7Sivakasi
8Srivilliputtur
9Watrap",,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABSTRACT,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Over Exploited,Saline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. ofAssessed Firkas,,Semi critical,Critical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,374,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,,235,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Agra 1 Kheragarh Jagner 1 Achhnera
- - 2 Akola
- - 3 Barauli Ahir
- - 4 Bichpuri
- - 5 Etmadpur
- - 6 Fatehabad
- - 7 Fatehpur Sikari
- - 8 Khandauli
- - 9 Saiyan
- - 10 Shamsabad
2 Aligarh - 1 Chandaus 1 Iglas
- 2 - 2 Khair
3 Allahabad 1 Urwa 3 Baheria 1 Bahadurpur
- 4 Pratappur 2 Chaka
- - 3 Dhanupur
- - 4 Holagarh
- - 5 Mau-Aima
4 Ambedkar Nagar 1 Bhiti - -
5 Amethi 1 Amethi -
2 Bahadurpur - -
3 Gauriganj - -
4 Jagdishpur - -
5 Sangrampur - -
6 Shahgarh - -
6 Amroha 1 Gajraula 1 Joya 1 Amroha
- - 2 Dhanaura
7 Azamgarh 1 Azmatgarh 1 Palhani -
2 Mirzapur 2 Sathiaon -
3 Rani Ki Sarai - -
4 Tahabarpur - -
8 Baghpat - 1 Baghpat 1 Binauli
- 2 Baraut 2 Pilana
- 3 Chaprauli -
- 4 Khekra -
9 Ballia - 1 Rasara -
10 Banda 1 Jaspura 2 Tindwari -
11 Bareilly 2 Ram Nagar - -
12 Bijnor - - 1 Aaku (Nehtaur)
- - 2 Budhanpur (Seohara)
- - 3 Jaleelpur
- - 4 Noorpur
13 Budaun 1 Bisauli 1 Asafpur 1 Ambiapur
2 Ujhani 2 Sahaswan 2 Islamnagar
14 Bulandshahar 1 Agauta B.B.Nagar 1 Gulauthi
2 Lakhaoti 1 Danpur 2 Sikandrabad
3 Pahasu 2 Khurja -
4 Unchagaon 3 Shikarpur -
15 Chitrakoot 1 Mau - 1 Karvi
2 Ram Nagar - -
16 Etah 1 Sakeet 1 Awagarh 1 Jalesar
- 2 Nidholi Kalan -
17 Faizabad 1 Bikapur - -
2 Tarun - -
18 Fatehpur 1 Deomai 1 Airayan Bhitaura
2 Khajuha 2 Amauli Malawan
3 Vijayeepur 3 Bahua Teliyani
- 4 Dhata -
- 5 Haswa -
- 6 Hathgaon -
19 Firozabad 1 Aron - 1 Firozabad
- - 2 Khairgarh
- - 3 Narkhi
- - 4 Shikohabad
- - 5 Tundla
20 G B Nagar - - 1 Bisrakh
- - 2 Jewar
21 Ghaziabad - - 1 Bhojpur
- - 2 Loni
- - 3 Razapur
22 Ghazipur 1 Barachawar Ghazipur -
2 Bhawarkol Muhammadabad -
4 Karanda - -
5 Kasimabad - -
6 Manihari - -
7 Sadat - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23 Hamirpur 1 Sareela 1 Sumerpur -
24 Hapur - - 1 Garh
- - 2 Hapur
- - 3 Simbholi
25 Hardoi 1 Ahrauri - -
2 Harpalpur - -
26 Hathras 1 Sahpau 1 Hathras 1 Mursan
- 2 Sadabad 2 Sasni
27 Jaunpur 1 Jalalpur 1 Barsathi 3 Badlapur
2 Khutahan 2 Buxa 4 Karanja Kalan
3 Madiyahun 3 Dharmapur 5 Kerakat
4 Ram Nagar 4 Dobhi 6 Maharajganj
5 Rampur 5 Muftiganj 7 Sirkoni
- 6 Sikrara -
28 Jhansi 1 Babina
2 Mauranipur - -
29 Kannauj 1 Gugrapur Jalalabad
2 Kannauj - Talgram
30 Kanpur Nagar 1 Chaubeypur - Kalyanpur
2 Ghatampur - -
3 Sarsaul - -
4 Shivrajpur - -
31 Kasganj - 1 Soron 1 Kasganj
- - 2 Sahawar
32 Kaushambi 1 Sarsawan 1 Manjhanpur 1 Chail
- 2 Newada 2 Kara
- - 3 Moorat Ganj
- - 4 Sirathu
33 Lucknow 1 Malihabad - 1 Chinhat
34 Mahoba - 1 Charkhari 1 Jaitpur
- 2 Kabrai 2 Panwari
35 Mainpuri - - 1 Barnahal
36 Mathura - 1 Farah 1 Baldeo
- - 2 Nohjhil
- - 3 Raya
37 Maunath Bhanjan 1 Badraon - -
2 Ranipur - -
38 Meerut 1 Daurala 1 Kharkhoda 1 Rajpura
2 Hastinapur 2 Machhra -
- 3 Meerut -
- 4 Parichhat Garh -
39 Mirzapur 1 Chanbey 1 Kon -
2 City 2 Majhawan -
3 Marihan 3 Sikhar -
4 Pahari - -
40 Moradabad 1 Bhagatpur Tanda - 1 Bilari
2 Deengarpur - 2 Chhajlet
- - 3 Dilari
41 Muzaffarnagar - - 1 Bhaghara
- - 2 Budhana
- - 3 Charthawal
- - 4 Shahpur
42 Pratapgarh 1 Kalanker 1 Aspur-Deosara 1 Baba Bekhernath
2 Sangaipur - 2 Gaura
- - 3 Lakshmanpur
- - 4 Lalganj
- - 5 Mandhata
- - 6 Mangraura
- - 7 Patti
- - 8 Pratapgarh Sadar
- - 9 Rampur-Sangramgarg
- - 10 Sandwa -Chandrika
- - 11 Shivgarh
43 Raibareli 1 Kheron 1 Sareni -
2 Rahi - -
44 Rampur - - 1 Chamraua
- - 2 Saidnagar
- - 3 Shahabad
- - 4 Swar
45 Saharanpur - 1 Muzafarabad 1 Baliakheri
2 Puwarka 2 Deoband
- - 3 Gangoh
- - 4 Nagal
- - 5 Nakur
- - 6 Nanauta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- - 7 Rampur
- - 8 Saduli Qudim
- - 9 Sarsawa
46 Sambhal - 1 Asmoli 1 Bahjoi
- 2 Junawai 2 Baniakhera
- - 3 Gunnaur
- - 4 Pawansa
- - 5 Sambhal
47 St. Ravidas Nagar - 1 Abholi -
- 2 Aurai -
- 3 Bhadohi -
- 4 Deegh -
- 5 Gyanpur -
- 6 Suriyawan -
48 Shamli - 1 Kairana 1 Kandhala
- 2 Thana Bhawan 2 Shamli
3 Un
49 Sitapur 1Machharehta - -
50 Sonbhadra 1Babhani 1 Ghorawal -
2Chatara - -
3Duddhi - -
4Robertsganj - -
51 Sultanpur 1Bhadaiyan - -
2Dubeypur - -
52 Unnao 1Bigha Pur
2Sikandar Sirausi - -
53 Varanasi 1Baragaon 1 Harhuwa 1 Arajiline
2Chiraigaon 2Pindra
3Cholapur - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,Nil,,,820,82,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Dehradun - - - -
2 Haridwar 1 Bhagwanpur - - -
2 Laksar - - -
3 Khanpur - - -
3 Nainital - - - -
- - - -
4 Udamsingh nagar 1 Gadarpur 1 Jaspur - -
2 Rudrapur 2 Kashipur - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Nil,,,18,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Malda - - - -
2 Nadia 1 Chapra - - -
2 Hanskhali - - -
3 Kaligunj - - -
4 Karimpur-I - - -
5 Karimpur-II - - -
6 Nakashipara - - -
7 Tehatta-I - - -
8 Tehatta-II - - -
3 Kochbihar - - - -
4 North 24 parganas 1 Barrackpore-II - - -
5 Dakshin dinajpur - - - -
6 Uttar dinajpur - - - -
7 Bankura 1 Bishnupur - - -
8 Purulia - - - -
9 Jalpaiguri - - - -
10 Barddhaman 1 Bhatar - - -
2 Kalna-II - - -
3 Katwa-II - - -
4 Ketugram-I - - -
5 Mangalkote - - -
6 Memari-II - - -
7 Monteswar - - -
8 Raina-I - - -
9 Raina-II - - -
11 Murshidabad 1 Bhagabangola-I - - -
2 Bhagabangola-II - - -
3 Bharatpur-I - - -
4 Bharatpur-II - - -
5 Burwan - - -
6 Domkal - - -
7 Kandi - - -
8 Khargram - - -
9 Lalgola - - -
10 Mur-jiaganj - - -
11 Nabagram - - -
12 Raninagar-I - - -
13 Raninagar-II - - -
14 Sagardighi - - -
12 Birbhum 1 Murarai-II - - -
2 Nalhati-II - - -
3 Nanoor - - -
4 Rampurhat-II - - -
13 Howrah - - - -
14 Darjeeling - - - -
15 Hoogly 1 Arambag 1 Goghat-II - -
2 Chinsurah-Mogra - - -
3 Goghat-I - - -
4 Pandua - - -
5 Polba-Dadpur - - -
6 Singur - - -
16 West medinipur 1 Ghatal - - -
2 Pingla - - -
3 Sabang - - -
17 East medinipur 1 Bhagawanpur-I - - -
2 Bhagawanpur-II - - -
3 Egra-I - - -
4 Moyna - - -
5 Panskura-I - - -
6 Potashpur-I - - -
7 Potashpur-II - - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,Nil,,,271,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Daman 1 Daman - - - - - -
2 Diu - - - - 1 Diu - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Agatti 1 Agatti - - -
2 Amini 1 Amini - - -
3 Androth - - - -
4 Chetlat - - - -
5 Kadmat - - - -
6 Kalpeni - - - -
7 Kiltan - - - -
8 Kavaratti 1 Kavaratti - - -
9 Minicoy - - -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Puducherry - - 1 Puducherry -
2 Karaikal - - - -
3 Mahe - - - -
4 Yanam - - - 1Yanam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,,,,,,,,,,Annual Rainfall (mm),674,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
